username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
arlikanarlikan,negatif,"bisa membuat masjid bisa membuat islamic center.... Joss, tapi Bantuan Operasional Sekolah APBD 2023 Semester 2 kok belum cair.... Monggo di cairkan gus...","It can build a mosque, it can build an Islamic center, that's great, but why hasn't the operational assistance for school APBD semester been disbursed, please disburse it, sir.","it can build a mosque, it can build an islamic center, that's great, but why hasn't the operational assistance for school apbd semester been disbursed, please disburse it, sir.",it can build a mosque  it can build an islamic center  that s great  but why hasn t the operational assistance for school apbd semester been disbursed  please disburse it  sir,build mosque build islamic center s great hasn t operational assistance school apbd semester disburse disburse,build mosque build islamic center s great hasn t operational assistance school apbd semester disburse disburse
citra.handayani.saja,positif,Pelan pelan yakin Gresik lebih maju lagi,"Slowly but surely, Gresik will become even more advanced.","slowly but surely, gresik will become even more advanced.",slowly but surely  gresik will become even more advanced,slowly surely gresik become even more advanced,slowly surely gresik advanced
cindy_tamaraaa,positif,bangga punya bupati kayak gus yani 🙌,The regent is proud like Gus Yani.,the regent is proud like gus yani.,the regent is proud like gus yani,regent proud gus yani,regent proud gus yani
abde_prastio,positif,alhamdulillah makin keren kabupatenku sekarang 😍,"Praise be to God, my regency is amazing now.","praise be to god, my regency is amazing now.",praise be to god  my regency is amazing now,praise god regency amazing now,praise god regency amazing
yogaprtma_cojs,positif,sudah gak sabar lagi melihat kemajuan gresik 😍,I'm already impatient to see Gresik's progress.,i'm already impatient to see gresik's progress.,i m already impatient to see gresik s progress,m already impatient see gresik progress,m impatient gresik progress
pemdesslempit,positif,Sebelah Gus Yani apa pak Mulyanto min,"On the side of Gus Yani, what is it, Pak Mulyanto?","on the side of gus yani, what is it, pak mulyanto?",on the side of gus yani  what is it  pak mulyanto,side gus yani pak mulyanto,gus yani pak mulyanto
vellyaw,positif,kesukaanku itu min sate di lowayu 😂,My favorite is satay at Lowayu.,my favorite is satay at lowayu.,my favorite is satay at lowayu,favorite satay lowayu,favorite satay lowayu
zunitaamr,positif,Masyaallah terima kasih kakak atas kunjungannya ke gubuk warung sate kami 🙏🏼😇,"God bless you, thank you, sister, for visiting our satay hut.","god bless you, thank you, sister, for visiting our satay hut.",god bless you  thank you  sister  for visiting our satay hut,god bless thank sister visit satay hut,god bless thank sister visit satay hut
khoirull_abid,positif,Mantap ini 😍,This is cool.,this is cool.,this is cool,cool,cool
citra.handayani.saja,positif,Hmmmm enak banget mbak..... Dimana ini tempatnya..,"This is very delicious, ma'am, where is this place?","this is very delicious, ma'am, where is this place?",this is very delicious  ma am  where is this place,very delicious ma place,delicious ma place
asri_sejahtera,positif,Hmmm cocok sama aku 🙌🙌🙌,He/She is suitable for me.,he/she is suitable for me.,he she is suitable for me,suitable,suitable
cindy_tamaraaa,positif,jadi pengen 🫠,So I want,so i want,so i want,so want,want
abde_prastio,positif,kontennya bikin laper ini pengen kesana nanti waktu buka puasa 😍,The content of this makes me want to go there later when the fasting period is over.,the content of this makes me want to go there later when the fasting period is over.,the content of this makes me want to go there later when the fasting period is over,content make want go there later fast period,content want later fast period
yogaprtma_cojs,positif,"makanannya enak, mbaknya cantik 🙌",The food is delicious and the lady is beautiful.,the food is delicious and the lady is beautiful.,the food is delicious and the lady is beautiful,food delicious lady beautiful,food delicious lady beautiful
satepojok_lowayu_dukun,positif,"lokasi desa lowayu gapura sebelah barat kakak sementara di bulan ramadhan buka mulai jam 15:00 - habis , silahkan mampir 😁","The location of Lowayu Village's gate is on the west side, and during Ramadan, it is open starting from dawn, so please feel free to visit.","the location of lowayu village's gate is on the west side, and during ramadan, it is open starting from dawn, so please feel free to visit.",the location of lowayu village s gate is on the west side  and during ramadan  it is open starting from dawn  so please feel free to visit,location lowayu village gate west side ramadan open start dawn so feel free visit,location lowayu village gate west ramadan open start dawn feel free visit
sirojua01,positif,Mohon untuk semua jajaran @pemkabgresik untuk segera merealisasikan anggaran bosda 2024 kasihan sekolah2 swasta... Semoga sukses selalu @fandiakhmadyani  dan selalu diberikan kesehatan,"We respectfully request that all parties immediately realize the BOSSDA budget for private schools, wishing them continued success and always being granted good health.","we respectfully request that all parties immediately realize the bossda budget for private schools, wishing them continued success and always being granted good health.",we respectfully request that all parties immediately realize the bossda budget for private schools  wishing them continued success and always being granted good health,respectfully request party immediately realize bossda budget private school wish continued success always grant good health,respectfully request party immediately realize bossda budget private school wish continued success grant good health
